geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
HND-002651,2009,32100050,,,,11,19,30
HND-002651,2011,32100050,,,,18,14,32
HND-002652,2009,32100052,,,,32,21,53
HND-002652,2011,32100052,,,,25,17,42
HND-002653,2009,32100053,,,,22,18,40
HND-002653,2011,32100053,,,,19,16,35
HND-002654,2009,32100055,,,,139,172,311
HND-002654,2010,32100055,5,5,10,20,13,33
HND-002654,2011,32100055,,,,147,184,331
HND-002655,2009,32100056,,,,23,20,43
HND-002655,2010,32100056,0,1,1,8,16,24
HND-002655,2011,32100056,,,,28,22,50
HND-002656,2009,32100057,,,,6,15,21
HND-002656,2010,32100057,0,1,1,3,11,14
HND-002656,2011,32100057,,,,8,14,22
HND-002657,2009,32100058,,,,17,16,33
HND-002657,2010,32100058,1,0,1,5,4,9
HND-002657,2011,32100058,,,,17,12,29
HND-002658,2009,32100059,,,,12,12,24
HND-002658,2010,32100059,0,1,1,4,7,11
HND-002658,2011,32100059,,,,14,13,27
HND-002659,2009,32100061,,,,9,9,18
HND-002659,2011,32100061,,,,6,11,17
HND-002660,2009,32100062,,,,8,13,21
HND-002660,2011,32100062,,,,9,7,16
HND-002661,2009,32100063,,,,8,17,25
HND-002661,2011,32100063,,,,11,16,27
HND-002662,2009,32100064,,,,10,10,20
HND-002662,2011,32100064,,,,8,10,18
HND-002663,2009,32100068,,,,22,31,53
HND-002663,2010,32100068,0,2,2,9,7,16
HND-002663,2011,32100068,,,,21,31,52
HND-002664,2009,32100069,,,,11,14,25
HND-002664,2010,32100069,0,1,1,9,5,14
HND-002664,2011,32100069,,,,9,12,21
HND-002665,2009,32100070,,,,9,9,18
HND-002665,2011,32100070,,,,14,6,20
HND-002666,2009,32100072,,,,11,6,17
HND-002666,2011,32100072,,,,9,11,20
HND-002667,2009,32100075,,,,6,9,15
HND-002667,2011,32100075,,,,10,2,12
HND-002669,2009,32100078,,,,8,7,15
HND-002669,2011,32100078,,,,7,6,13
HND-002670,2009,32100079,,,,7,5,12
HND-002670,2011,32100079,,,,3,3,6
HND-002671,2009,32100093,,,,8,12,20
HND-002671,2011,32100093,,,,7,10,17
HND-002672,2009,32100095,,,,0,0,0
HND-002672,2010,32100095,1,0,1,5,6,11
HND-002672,2011,32100095,,,,7,5,12
HND-002673,,32100096,,,,,,
HND-002674,,32100100,,,,,,
HND-002675,2009,40100001,,,,278,299,577
HND-002675,2010,40100001,7,18,25,5,6,11
HND-002675,2011,40100001,,,,253,295,548
HND-002676,2009,40100002,,,,607,567,1174
HND-002676,2010,40100002,9,32,41,2,8,10
HND-002676,2011,40100002,,,,577,578,1155
HND-002677,2009,40100003,,,,369,295,664
HND-002677,2010,40100003,13,9,22,4,7,11
HND-002677,2011,40100003,,,,375,306,681
HND-002678,2009,40100004,,,,39,40,79
HND-002678,2010,40100004,0,2,2,6,1,7
HND-002678,2011,40100004,,,,43,37,80
HND-002679,2009,40100005,,,,12,10,22
HND-002679,2010,40100005,0,1,1,9,7,16
HND-002679,2011,40100005,,,,15,10,25
HND-002680,2009,40100006,,,,44,58,102
HND-002680,2010,40100006,0,4,4,7,8,15
HND-002680,2011,40100006,,,,34,53,87
HND-002681,2009,40100007,,,,120,101,221
HND-002681,2010,40100007,3,4,7,40,35,75
HND-002681,2011,40100007,,,,118,102,220
HND-002682,2009,40100008,,,,89,86,175
HND-002682,2010,40100008,3,3,6,19,12,31
HND-002682,2011,40100008,,,,88,92,180
HND-002683,2009,40100009,,,,94,87,181
HND-002683,2010,40100009,2,4,6,5,8,13
HND-002683,2011,40100009,,,,96,96,192
HND-002684,2009,40100010,,,,47,38,85
HND-002684,2010,40100010,2,0,2,1,10,11
HND-002684,2011,40100010,,,,41,31,72
HND-002685,2009,40100011,,,,29,31,60
HND-002685,2010,40100011,0,1,1,4,4,8
HND-002685,2011,40100011,,,,31,30,61
HND-002686,2009,40100012,,,,62,68,130
HND-002686,2010,40100012,0,6,6,6,7,13
HND-002686,2011,40100012,,,,64,73,137
HND-002687,2009,40100013,,,,38,29,67
HND-002687,2010,40100013,1,1,2,2,3,5
HND-002687,2011,40100013,,,,36,30,66
HND-002688,2009,40100014,,,,27,26,53
HND-002688,2010,40100014,0,2,2,7,5,12
HND-002688,2011,40100014,,,,18,27,45
HND-002689,2009,40100015,,,,223,191,414
HND-002689,2010,40100015,4,14,18,4,11,15
HND-002689,2011,40100015,,,,196,176,372
HND-002690,2009,40100016,,,,133,147,280
